gene_name,experiment_ids,allen_gene_ids,entrez_ids,entrez_history,current_entrez_ids,mgi_ids,current_symbols,old_ensembl_id,mgi_candidates,ncbi_candidates,candidate_ids,allen_target_ambiguous,ensembl_ids,rejected_candidates,status
0610007P14Rik,[70927828],[37334],"[""58520""]","[[""58520""]]","[""58520""]","[""MGI:1915571""]","[""Erg28""]",ENSMUSG00000021252,"[""ENSMUSG00000021252""]","[""ENSMUSG00000021252""]","[""ENSMUSG00000021252""]",False,"[""ENSMUSG00000021252""]",{},one_to_one
0610010F05Rik,[74957923],[47516],"[""71675""]","[[""71675""]]","[""71675""]","[""MGI:1918925""]","[""Sanbr""]",ENSMUSG00000042208,"[""ENSMUSG00000042208""]","[""ENSMUSG00000042208""]","[""ENSMUSG00000042208""]",False,"[""ENSMUSG00000042208""]",{},one_to_one
1110007C09Rik,[74357561],[44322],"[""68480""]","[[""68480""]]","[""68480""]","[""MGI:1915730""]","[""Card19""]",ENSMUSG00000037960,"[""ENSMUSG00000037960""]","[""ENSMUSG00000037960""]","[""ENSMUSG00000037960""]",False,"[""ENSMUSG00000037960""]",{},one_to_one
1110008P14Rik,[71015816],[49578],"[""73737""]","[[""73737""]]","[""73737""]","[""MGI:1920987""]","[""Bbln""]",ENSMUSG00000039195,"[""ENSMUSG00000039195""]","[""ENSMUSG00000039195""]","[""ENSMUSG00000039195""]",False,"[""ENSMUSG00000039195""]",{},one_to_one
1110037F02Rik,[74988462],[42028],"[""66185""]","[[""66185""]]","[""66185""]","[""MGI:1913435""]","[""Virma""]",ENSMUSG00000040720,"[""ENSMUSG00000040720""]","[""ENSMUSG00000040720""]","[""ENSMUSG00000040720""]",False,"[""ENSMUSG00000040720""]",{},one_to_one
1190002N15Rik,[77332088],[44703],"[""68861""]","[[""68861""]]","[""68861""]","[""MGI:1916111""]","[""Dipk2a""]",ENSMUSG00000045414,"[""ENSMUSG00000045414""]","[""ENSMUSG00000045414""]","[""ENSMUSG00000045414""]",False,"[""ENSMUSG00000045414""]",{},one_to_one
1200016E24Rik,[1591],[106137],"[""319202""]","[[""319202"", ""-""]]",[],[],[],,[],[],[],False,[],{},unresolved
1700037H04Rik,[324211],[43169],"[""67326""]","[[""67326""]]","[""67326""]","[""MGI:1914576""]","[""Adissp""]",ENSMUSG00000027327,"[""ENSMUSG00000027327""]","[""ENSMUSG00000027327""]","[""ENSMUSG00000027327""]",False,"[""ENSMUSG00000027327""]",{},one_to_one
1700086L19Rik,[1643],[50125],"[""74284""]","[[""74284""]]","[""74284""]","[""MGI:1921534""]","[""Sertad4b-ps""]",ENSMUSG00000071265,"[""ENSMUSG00000121877""]","[""ENSMUSG00000121877""]","[""ENSMUSG00000071265"", ""ENSMUSG00000121877""]",False,"[""ENSMUSG00000071265"", ""ENSMUSG00000121877""]",{},ambiguous_ensembl
1810041L15Rik,[72340125],[48142],"[""72301""]","[[""72301""]]","[""72301""]","[""MGI:1919551""]","[""Shisal1""]",ENSMUSG00000062760,"[""ENSMUSG00000062760""]","[""ENSMUSG00000062760""]","[""ENSMUSG00000062760""]",False,"[""ENSMUSG00000062760""]",{},one_to_one
2010111I01Rik,[71717630],[47902],"[""72061""]","[[""72061""]]","[""72061""]","[""MGI:1919311""]","[""Aopep""]",ENSMUSG00000021458,"[""ENSMUSG00000021458""]","[""ENSMUSG00000021458""]","[""ENSMUSG00000021458""]",False,"[""ENSMUSG00000021458""]",{},one_to_one
2010300C02Rik,[70743898],[47938],"[""72097""]","[[""72097""]]","[""72097""]","[""MGI:1919347""]","[""Cracdl""]",ENSMUSG00000026090,"[""ENSMUSG00000026090""]","[""ENSMUSG00000026090""]","[""ENSMUSG00000026090""]",False,"[""ENSMUSG00000026090""]",{},one_to_one
2310003H01Rik,[72080185],[47726],"[""71885""]","[[""71885""]]","[""71885""]","[""MGI:1919135""]","[""Faap100""]",ENSMUSG00000025384,"[""ENSMUSG00000025384""]","[""ENSMUSG00000025384""]","[""ENSMUSG00000025384""]",False,"[""ENSMUSG00000025384""]",{},one_to_one
2610028E06Rik,[71020430],[48236],"[""72395""]","[[""72395""]]","[""72395""]","[""MGI:1919645""]","[""2610028E06Rik""]",ENSMUSG00000085562,"[""ENSMUSG00000085562""]","[""ENSMUSG00000085562""]","[""ENSMUSG00000085562""]",False,"[""ENSMUSG00000085562""]",{},one_to_one
2900026A02Rik,[71670713],[89049],"[""243219""]","[[""243219""]]","[""243219""]","[""MGI:1920194""]","[""2900026A02Rik""]",ENSMUSG00000051339,"[""ENSMUSG00000051339""]","[""ENSMUSG00000051339""]","[""ENSMUSG00000051339""]",False,"[""ENSMUSG00000051339""]",{},one_to_one
3100002H09Rik,[77340484],[46090],"[""70249""]","[[""70249""]]","[""70249""]","[""MGI:1917499""]",[],,[],[],[],False,[],{},unresolved
3110035E14Rik,[73817427],[52822],"[""76982""]","[[""76982""]]","[""76982""]","[""MGI:1924232""]","[""Vxn""]",ENSMUSG00000067879,"[""ENSMUSG00000067879""]","[""ENSMUSG00000067879""]","[""ENSMUSG00000067879""]",False,"[""ENSMUSG00000067879""]",{},one_to_one
3632451O06Rik,[70928306],[43262],"[""67419""]","[[""67419""]]","[""67419""]","[""MGI:1914669""]","[""Armh4""]",ENSMUSG00000036242,"[""ENSMUSG00000036242""]","[""ENSMUSG00000036242""]","[""ENSMUSG00000036242""]",False,"[""ENSMUSG00000036242""]",{},one_to_one
3830406C13Rik,[77414919],[85403],"[""218734""]","[[""218734""]]","[""218734""]","[""MGI:1917937""]","[""Cep15""]",ENSMUSG00000033111,"[""ENSMUSG00000033111""]","[""ENSMUSG00000033111""]","[""ENSMUSG00000033111""]",False,"[""ENSMUSG00000033111""]",{},one_to_one
4833414E09Rik,[73521828],[47474],"[""71633""]","[[""71633""]]","[""71633""]","[""MGI:1918883""]",[],,[],[],[],False,[],{},unresolved
4833420G17Rik,[74047840],[43235],"[""67392""]","[[""67392""]]","[""67392""]","[""MGI:1914642""]","[""4833420G17Rik""]",ENSMUSG00000062822,"[""ENSMUSG00000062822""]","[""ENSMUSG00000062822""]","[""ENSMUSG00000062822""]",False,"[""ENSMUSG00000062822""]",{},one_to_one
4921531P07Rik,[71670715],[83896],"[""207778""]","[[""207778"", ""110083""]]","[""110083""]","[""MGI:107720""]","[""Dnah12""]",ENSMUSG00000021879,"[""ENSMUSG00000021879""]","[""ENSMUSG00000021879""]","[""ENSMUSG00000021879""]",False,"[""ENSMUSG00000021879""]",{},shared_target
4930506M07Rik,[322956],[47494],"[""71653""]","[[""71653""]]","[""71653""]","[""MGI:1918903""]","[""Shtn1""]",ENSMUSG00000041362,"[""ENSMUSG00000041362""]","[""ENSMUSG00000041362""]","[""ENSMUSG00000041362""]",False,"[""ENSMUSG00000041362""]",{},one_to_one
4932418E24Rik,[73635776],[108656],"[""329366""]","[[""329366""]]","[""329366""]","[""MGI:3045295""]","[""Ccdc187""]",ENSMUSG00000048038,"[""ENSMUSG00000048038""]","[""ENSMUSG00000048038""]","[""ENSMUSG00000048038""]",False,"[""ENSMUSG00000048038""]",{},one_to_one
4932438H23Rik,[1321],[50228],"[""74387""]","[[""74387""]]","[""74387""]","[""MGI:1921637""]","[""Epcip""]",ENSMUSG00000039851,"[""ENSMUSG00000039851""]","[""ENSMUSG00000039851""]","[""ENSMUSG00000039851""]",False,"[""ENSMUSG00000039851""]",{},one_to_one
4933427D14Rik,[74272053],[50318],"[""74477""]","[[""74477""]]","[""74477""]","[""MGI:1921727""]","[""4933427D14Rik""]",ENSMUSG00000020807,"[""ENSMUSG00000020807""]","[""ENSMUSG00000020807""]","[""ENSMUSG00000020807""]",False,"[""ENSMUSG00000020807""]",{},one_to_one
5330421K23Rik,[75043138],[149846],[],[],[],[],[],,[],[],[],False,[],{},unresolved
5730409E04Rik,[74988752],[87103],"[""230757""]","[[""230757""]]","[""230757""]","[""MGI:3609248""]","[""5730409E04Rik""]",ENSMUSG00000073755,"[""ENSMUSG00000073755""]","[""ENSMUSG00000073755""]","[""ENSMUSG00000073755""]",False,"[""ENSMUSG00000073755""]",{},one_to_one
6330403A02Rik,[72340183],[120154],"[""381310""]","[[""381310""]]","[""381310""]","[""MGI:2138735""]","[""Stum""]",ENSMUSG00000053963,"[""ENSMUSG00000053963""]","[""ENSMUSG00000053963""]","[""ENSMUSG00000053963""]",False,"[""ENSMUSG00000053963""]",{},one_to_one
6430548M08Rik,[72008118],[87903],"[""234797""]","[[""234797""]]","[""234797""]","[""MGI:2443793""]","[""6430548M08Rik""]",ENSMUSG00000031824,"[""ENSMUSG00000031824""]","[""ENSMUSG00000031824""]","[""ENSMUSG00000031824""]",False,"[""ENSMUSG00000031824""]",{},one_to_one
6430573F11Rik,[75651150],[106517],"[""319582""]","[[""319582""]]","[""319582""]","[""MGI:2442328""]","[""Trmt9b""]",ENSMUSG00000039620,"[""ENSMUSG00000039620""]","[""ENSMUSG00000039620""]","[""ENSMUSG00000039620""]",False,"[""ENSMUSG00000039620""]",{},one_to_one
6430709H04Rik,[74750012],[106163],"[""319228""]","[[""319228"", ""16180""]]","[""16180""]","[""MGI:104975""]","[""Il1rap""]",ENSMUSG00000022514,"[""ENSMUSG00000022514""]","[""ENSMUSG00000022514""]","[""ENSMUSG00000022514""]",False,"[""ENSMUSG00000022514""]",{},shared_target
6820408C15Rik,[74363339],[86773],"[""228778""]","[[""228778""]]","[""228778""]","[""MGI:3045333""]","[""6820408C15Rik""]",ENSMUSG00000032680,"[""ENSMUSG00000032680""]","[""ENSMUSG00000032680""]","[""ENSMUSG00000032680""]",False,"[""ENSMUSG00000032680""]",{},one_to_one
7420498E04Rik,[75043148],[149916],[],[],[],[],[],,[],[],[],False,[],{},unresolved
8030498B09Rik,[74958606],[53387],"[""77547""]","[[""77547""]]","[""77547""]","[""MGI:1924797""]",[],,[],[],[],False,[],{},unresolved
9130024F11Rik,"[51, 71, 1313]",[108616],"[""329160""]","[[""329160""]]","[""329160""]","[""MGI:1926150""]","[""9130024F11Rik""]",ENSMUSG00000087022,"[""ENSMUSG00000087022""]","[""ENSMUSG00000087022""]","[""ENSMUSG00000087022""]",False,"[""ENSMUSG00000087022""]",{},one_to_one
9330182L06Rik,[75081005],[87174],"[""231014""]","[[""231014""]]","[""231014""]","[""MGI:2443264""]","[""Elapor2""]",ENSMUSG00000056004,"[""ENSMUSG00000056004""]","[""ENSMUSG00000056004""]","[""ENSMUSG00000056004""]",False,"[""ENSMUSG00000056004""]",{},one_to_one
